serial_number,item_name,room,building,department,entry_date,status,disposal_date,price,is_ewaste,item_age_years,item_category,default_life_years,warranty_years,out_of_warranty,exceeded_life,current_value,estimated_repair_cost,repair_cost_ratio,itad_decision
328700001.0,"HP Compaq NoteBook 6910p,# RH244AV,Intel Core2 Duo T7500,Santa Rosa,2.2GHz/800GHz FSB Mobile Intel 965 Express Chipset,2GB DDR2 RAM 667 2 DIMS, HD 120GB/7200RPM,14.1"" WXGA Display,Windows Vista Business 32/64 UMA,With HP carrying case.",Masri315,المصري,دائرة علم الحاسوب,2007-11-06,Out,,1267.9263,0,18.510609171800137,other,6,2,1,1,0.0,316.981575,316.981575,Review for E-Waste
328900001.0,"BenQ MP 721c,LCD Projector",,Unknown,Unknown,2007-12-01,Damage,8/22/2016,1018.4364,1,18.442162902121837,display,7,3,1,1,0.0,254.6091,254.6091,Recycle / Dispose
328800001.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",,Unknown,Unknown,2007-12-04,Damage,10/29/2016,744.87915,1,18.43394934976044,display,7,3,1,1,0.0,186.2197875,186.2197875,Recycle / Dispose
328800002.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",,Unknown,Unknown,2007-12-04,Damage,10/29/2016,744.87915,1,18.43394934976044,display,7,3,1,1,0.0,186.2197875,186.2197875,Recycle / Dispose
328800003.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",,Unknown,Unknown,2007-12-04,Damage,10/29/2016,744.87915,1,18.43394934976044,display,7,3,1,1,0.0,186.2197875,186.2197875,Recycle / Dispose
328800004.0,"Dell OptiPlex 755 MT,Intel Core 2 Duo Processor E6750 2.66GHz 1333MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8Exp,RAM 2GB 677MHz Non ECC SDRAM 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16xDVD+/-RW SATA Roxio,128MB ATI Radeon X1300 ""1DVI/1 TV-out",,Unknown,Unknown,2007-12-04,Damage,10/29/2016,744.87915,1,18.43394934976044,display,7,3,1,1,0.0,186.2197875,186.2197875,Recycle / Dispose
329000001.0,HP ScanJet G4010,Masri315,المصري,كلية تكنولوجيا المعلومات,2007-11-07,Out,,129.7575,0,18.50787132101301,other,6,2,1,1,0.0,32.439375,32.439375,Review for E-Waste
328400001.0,"Dell OptiPlex 745 MT,Intel Core 2 Duo Processor E6600 2.4GHz 1066MHz FSB,4MB L2 cache,Chipset Intel Q965 ICH8 Exp,RAM 2GB 667MHZ Non ECC SDram 2DIMM,HD 160GB 7200rpm 3GB/s SATA,16x DVD-/-RWSATA Roxio,128MB ATI Radeon X1300 ""1 DVI/1 TV-out.",Aggad312,عقاد,دائرة هندسة أنظمة الحاسوب,2007-12-04,Out,,744.9147,0,18.43394934976044,display,7,3,1,1,0.0,186.228675,186.228675,Review for E-Waste
328400002.0,"DELL 17"" LCD Monitor DVI # 1708FP",Aggad312,عقاد,دائرة هندسة أنظمة الحاسوب,2007-12-04,Out,,162.819,0,18.43394934976044,display,7,3,1,1,0.0,40.70475,40.70475,Review for E-Waste
341200001.0,"HP Compaq NoteBook 6910p,# RH244AV,Intel Core2 Duo T7500,Santa Rosa,2.2GHz/800GHz FSB Mobile Intel 965 Express Chipset,2GB DDR2 RAM 667 2 DIMS, HD 120GB/7200RPM,14.1"" WXGA Display,Windows Vista Business 32/64 UMA,With HP carrying case.",IOL230/2,معهد الحقوق,معهد الحقوق,2008-01-14,Out,,1410.7652,0,18.321697467488026,other,6,2,1,1,0.0,352.6913,352.6913,Review for E-Waste
